Triaged,Archive,Address,Current URL / Directory,Title,Description,New URL (update only if changed),Redirect ONLY URL
x,,https://developers.chrome.com/en/docs/extensions/mv2/runtime_host_permissions/,/en/docs/extensions/mv2/runtime_host_permissions/,User controls for host permissions: transition guide,Guidelines for updating your Extensions to handle the runtime host permission changes starting in Chrome 70.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/samples/,/en/docs/extensions/mv2/samples/,Samples,,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/sandboxingEval/,/en/docs/extensions/mv2/sandboxingEval/,Using eval in Chrome extensions,How to use eval() in a Chrome Extension.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/security/,/en/docs/extensions/mv2/security/,Stay secure,How to keep your Chrome Extension secure.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/settings_override/,/en/docs/extensions/mv2/settings_override/,Overriding Chrome settings,How to override Chrome settings from a Chrome Extension.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/shared_modules/,/en/docs/extensions/mv2/shared_modules/,Shared modules,How to share code between Chrome Extensions.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/themes/,/en/docs/extensions/mv2/themes/,What are themes?,Guidelines on how to create a theme.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/tut_analytics/,/en/docs/extensions/mv2/tut_analytics/,Tutorial: Google analytics,Step-by-step instructions on how to track usage of your Extension with Google Analytics.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/tut_debugging/,/en/docs/extensions/mv2/tut_debugging/,Debugging extensions,Step-by-step instructions on how to debug Chrome Extensions.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/tut_migration_to_manifest_v2/,/en/docs/extensions/mv2/tut_migration_to_manifest_v2/,Tutorial: Migrate to Manifest V2,Guidelines on how to migrate from manifest v1 to manifest v2.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/tut_oauth/,/en/docs/extensions/mv2/tut_oauth/,OAuth2: Authenticate users with Google,"Step-by-step instructions on how to build an extension that accesses a user's Google contacts via the Google People API, the Chrome Identity API, and OAuth2.",,
x,,https://developers.chrome.com/en/docs/extensions/mv2/user_interface/,/en/docs/extensions/mv2/user_interface/,Design the user interface,UI and design guidelines for Chrome Extensions.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/user_privacy/,/en/docs/extensions/mv2/user_privacy/,Protect user privacy,Guidelines for ensuring that your Chrome Extension protects user privacy.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/xhr/,/en/docs/extensions/mv2/xhr/,Cross-origin XMLHttpRequest,How to implement cross-origin XHR in your Chrome Extension.,,
x,,https://developers.chrome.com/en/docs/extensions/mv3/,/en/docs/extensions/mv3/,Welcome,Documentation for Chrome extensions developers.,,/docs/extensions/
X,,https://developers.chrome.com/en/docs/extensions/mv3/a11y/,/en/docs/extensions/mv3/a11y/,Accessibility (a11y),How to make your Chrome Extension accessible.,/docs/extensions/how-to/ui/a11y/,
x,,https://developers.chrome.com/en/docs/extensions/mv3/architecture-overview/,/en/docs/extensions/mv3/architecture-overview/,Architecture overview,A high-level explanation of the architecture of Chrome Extensions.,,/docs/extensions/develop/
x,,https://developers.chrome.com/en/docs/extensions/mv3/content_scripts/,/en/docs/extensions/mv3/content_scripts/,Content scripts,An explanation of content scripts and how to use them in your Chrome Extension.,/docs/extensions/develop/concepts/content-scripts/,
x,,https://developers.chrome.com/en/docs/extensions/mv3/cross-origin-isolation/,/en/docs/extensions/mv3/cross-origin-isolation/,Cross-origin isolation,Overview of cross-origin isolation for extensions,/docs/extensions/develop/concepts/cross-origin-isolation/,
x,,https://developers.chrome.com/en/docs/extensions/mv3/declare_permissions/,/en/docs/extensions/mv3/declare_permissions/,Declare permissions,An overview of the valid values for the permissions property in manifest.json.,/docs/extensions/develop/concepts/declare-permissions/,
x,,https://developers.chrome.com/en/docs/extensions/mv3/devguide/,/en/docs/extensions/mv3/devguide/,Extension development overview,An overview of Chrome Extension capabilities and components.,,/docs/extensions/develop/
x,,https://developers.chrome.com/en/docs/extensions/mv3/devtools/,/en/docs/extensions/mv3/devtools/,Extending DevTools,How to create a Chrome Extension that adds functionality to Chrome DevTools.,/docs/extensions/how-to/devtools/extend-devtools,
x,,https://developers.chrome.com/en/docs/extensions/mv3/end-to-end-testing/,/en/docs/extensions/mv3/end-to-end-testing/,End-to-end testing for Chrome Extensions,How to write end-to-end tests for extensions.,/docs/extensions/how-to/test/end-to-end-testing/,
x,,https://developers.chrome.com/en/docs/extensions/mv3/external_extensions/,/en/docs/extensions/mv3/external_extensions/,Alternative extension installation methods,How to install Chrome Extensions via preferences JSON or Windows registry.,/docs/extensions/how-to/distribute/install-extensions,
x,,https://developers.chrome.com/en/docs/extensions/mv3/faq/,/en/docs/extensions/mv3/faq/,Frequently asked questions,Frequently asked questions about Chrome Extensions.,,/docs/extensions/support/get-help/
x,,https://developers.chrome.com/en/docs/extensions/mv3/favicon/,/en/docs/extensions/mv3/favicon/,Fetching favicons,How to get a website's favicon.,/docs/extensions/how-to/ui/favicons,
x,,https://developers.chrome.com/en/docs/extensions/mv3/file_handling/,/en/docs/extensions/mv3/file_handling/,File handling on Chrome OS,"How to open files in Chrome extension service workers, popups, side panels, or content scripts.",/docs/extensions/how-to/web-platform/file-handling-chromeos,
x,,https://developers.chrome.com/en/docs/extensions/mv3/geolocation/,/en/docs/extensions/mv3/geolocation/,Use geolocation,"How to use geolocation in Chrome extension service workers, popups, side panels, or content scripts.",/docs/extensions/how-to/web-platform/geolocation,
x,,https://developers.chrome.com/en/docs/extensions/mv3/getstarted/,/en/docs/extensions/mv3/getstarted/,Welcome,Overview of all Chrome Extensions getting started guides.,,/docs/extensions/get-started/
x,,https://developers.chrome.com/en/docs/extensions/mv3/getstarted/development-basics/,/en/docs/extensions/mv3/getstarted/development-basics/,Development basics,What to expect during the development of a Chrome extension.,/docs/extensions/get-started/tutorial/hello-world/,
x,,https://developers.chrome.com/en/docs/extensions/mv3/getstarted/extensions-101/,/en/docs/extensions/mv3/getstarted/extensions-101/,Extensions 101,Explore basic concepts of Chrome extension development.,,/docs/extensions/get-started/
x,,https://developers.chrome.com/en/docs/extensions/mv3/getstarted/tut-focus-mode/,/en/docs/extensions/mv3/getstarted/tut-focus-mode/,Inject scripts into the active tab,Learn how to simplify the style of the current page.,/docs/extensions/get-started/tutorial/scripts-activetab,
x,,https://developers.chrome.com/en/docs/extensions/mv3/getstarted/tut-quick-reference/,/en/docs/extensions/mv3/getstarted/tut-quick-reference/,Handle events with service workers,Learn how to create and debug an extension service worker.,/docs/extensions/get-started/tutorial/service-worker-events,
x,,https://developers.chrome.com/en/docs/extensions/mv3/getstarted/tut-reading-time/,/en/docs/extensions/mv3/getstarted/tut-reading-time/,Run scripts on every page,Learn how to automatically add new elements to existing webpages.,/docs/extensions/get-started/tutorial/scripts-on-every-tab,
x,,https://developers.chrome.com/en/docs/extensions/mv3/getstarted/tut-tabs-manager/,/en/docs/extensions/mv3/getstarted/tut-tabs-manager/,Manage tabs,Learn how to programmatically organize tabs using tab groups.,/docs/extensions/get-started/tutorial/popup-tabs-manager,
x,,https://developers.chrome.com/en/docs/extensions/mv3/hosting/,/en/docs/extensions/mv3/hosting/,Extension hosting,How to host your Chrome extension.,/docs/extensions/how-to/distribute/hosting,
x,,https://developers.chrome.com/en/docs/extensions/mv3/i18n-messages/,/en/docs/extensions/mv3/i18n-messages/,Localization message formats,Reference documentation about the format of the messages.json file for Chrome Extensions.,/docs/extensions/how-to/ui/localization-message-formats,
x,,https://developers.chrome.com/en/docs/extensions/mv3/intro/,/en/docs/extensions/mv3/intro/,Welcome to Manifest V3,An introduction to Manifest V3,,/docs/extensions/develop/migrating/
x,,https://developers.chrome.com/en/docs/extensions/mv3/intro/mv3-overview/,/en/docs/extensions/mv3/intro/mv3-overview/,Overview of Manifest V3,A description of the features and changes introduced by Manifest V3.,,/docs/extensions/develop/migrating/
x,,https://developers.chrome.com/en/docs/extensions/mv3/intro/platform-vision/,/en/docs/extensions/mv3/intro/platform-vision/,Extensions platform vision,Where the extensions platform is headed and why,,/docs/extensions/develop/migrating/
x,,https://developers.chrome.com/en/docs/extensions/mv3/linux_hosting/,/en/docs/extensions/mv3/linux_hosting/,Installing extensions on Linux,"How to package, host, and update crx files from a personal server for Linux users.",/docs/extensions/how-to/distribute/host-extensions,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/,/en/docs/extensions/mv3/manifest/,Manifest file format,An overview of the manifest.json properties of a Chrome Extension.,/docs/extensions/reference/manifest/,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/activeTab/,/en/docs/extensions/mv3/manifest/activeTab/,The activeTab permission,How to use the activeTab permission in your Chrome Extension.,/docs/extensions/reference/develop/concepts/activeTab,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/author/,/en/docs/extensions/mv3/manifest/author/,Manifest - Author,Reference documentation for the author name property of manifest.json.,/docs/extensions/reference/manifest/author,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/background/,/en/docs/extensions/mv3/manifest/background/,Manifest - background,Reference documentation for the background property of manifest.json.,/docs/extensions/reference/manifest/background,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/content_scripts/,/en/docs/extensions/mv3/manifest/content_scripts/,Manifest - content scripts,"Reference documentation for the ""content_scripts"" property of manifest.json.",/docs/extensions/reference/manifest/content_scripts,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/content_security_policy/,/en/docs/extensions/mv3/manifest/content_security_policy/,Manifest - Content Security Policy,Reference documentation for the content security policy properties of manifest.json.,/docs/extensions/reference/manifest/content_security_policy,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/cross_origin_embedder_policy/,/en/docs/extensions/mv3/manifest/cross_origin_embedder_policy/,Cross-origin embedder policy,Reference documentation for the cross_origin_embedder_policy property of manifest.json.,/docs/extensions/reference/manifest/cross_origin_embedder_policy,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/cross_origin_opener_policy/,/en/docs/extensions/mv3/manifest/cross_origin_opener_policy/,Cross-origin opener policy,Reference documentation for the cross_origin_opener_policy property of manifest.json.,/docs/extensions/reference/manifest/cross_origin_openeer_policy,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/declarativeNetRequest/,/en/docs/extensions/mv3/manifest/declarativeNetRequest/,Manifest - declarativeNetRequest,Reference documentation for the declarativeNetRequest property of manifest.json.,,/docs/extensions/reference/api/declarativeNetRequest/
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/default_locale/,/en/docs/extensions/mv3/manifest/default_locale/,Manifest - Default Locale,Reference documentation for the default_locale property of manifest.json.,/docs/extensions/reference/manifest/default_locale,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/description/,/en/docs/extensions/mv3/manifest/description/,Manifest - Description,Reference documentation for the description property of manifest.json.,/docs/extensions/reference/manifest/description,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/event_rules/,/en/docs/extensions/mv3/manifest/event_rules/,event_rules,Reference documentation for the event_rules property of manifest.json.,/docs/extensions/reference/manifest/event_rules,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/externally_connectable/,/en/docs/extensions/mv3/manifest/externally_connectable/,externally_connectable,Reference documentation for the externally_connectable property of manifest.json.,/docs/extensions/reference/manifest/externally_connectable,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/file_handlers/,/en/docs/extensions/mv3/manifest/file_handlers/,file_handlers,Reference documentation for the file_handlers property of manifest.json.,/docs/extensions/reference/manifest/file_handlers,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/homepage_url/,/en/docs/extensions/mv3/manifest/homepage_url/,Manifest - Homepage Url,Reference documentation for the homepage_url property of manifest.json.,/docs/extensions/reference/manifest/homepage_url,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/icons/,/en/docs/extensions/mv3/manifest/icons/,Manifest - Icons,Reference documentation for the icons property of manifest.json.,/docs/extensions/reference/manifest/icons,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/incognito/,/en/docs/extensions/mv3/manifest/incognito/,Manifest - Incognito,Reference documentation for the incognito property of manifest.json.,/docs/extensions/reference/manifest/incognito,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/input_components/,/en/docs/extensions/mv3/manifest/input_components/,Manifest - input_components,Reference documentation for the input_components property of manifest.json.,/docs/extensions/reference/manifest/input_components,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/key/,/en/docs/extensions/mv3/manifest/key/,Manifest - key,Reference documentation for the key property of manifest.json.,/docs/extensions/reference/manifest/key,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/manifest_version/,/en/docs/extensions/mv3/manifest/manifest_version/,Manifest Version,Reference documentation for the manifest_version property of manifest.json.,/docs/extensions/reference/manifest/manifest_version,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/minimum_chrome_version/,/en/docs/extensions/mv3/manifest/minimum_chrome_version/,Manifest - Minimum Chrome Version,Reference documentation for the minimum_chrome_version property of manifest.json.,/docs/extensions/reference/manifest/minimum_chrome_version,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/name/,/en/docs/extensions/mv3/manifest/name/,Manifest - name,Reference documentation for the name property of manifest.json.,/docs/extensions/reference/manifest/name,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/oauth2/,/en/docs/extensions/mv3/manifest/oauth2/,Manifest - oauth2,Reference documentation for the oauth2 property of manifest.json.,/docs/extensions/reference/manifest/oauth2,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/requirements/,/en/docs/extensions/mv3/manifest/requirements/,Manifest - Requirements,Reference documentation for the requirements property of manifest.json.,/docs/extensions/reference/manifest/requirements,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/sandbox/,/en/docs/extensions/mv3/manifest/sandbox/,Manifest - Sandbox,Reference documentation for the sandbox property of manifest.json.,/docs/extensions/reference/manifest/sandbox,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/short_name/,/en/docs/extensions/mv3/manifest/short_name/,Manifest - short_name,Reference documentation for the short_name property of manifest.json.,/docs/extensions/reference/manifest/short_name,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/storage/,/en/docs/extensions/mv3/manifest/storage/,Manifest for storage areas,Reference documentation for the storage property of manifest.json.,/docs/extensions/reference/manifest/storage,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/version/,/en/docs/extensions/mv3/manifest/version/,Manifest - Version,Reference documentation for the version property of manifest.json.,/docs/extensions/reference/manifest/version,
x,,https://developers.chrome.com/en/docs/extensions/mv3/manifest/web_accessible_resources/,/en/docs/extensions/mv3/manifest/web_accessible_resources/,Manifest - Web Accessible Resources,Reference documentation for the web_accessible_resources property of manifest.json.,/docs/extensions/reference/manifest/web_accessible_resources,
x,,https://developers.chrome.com/en/docs/extensions/mv3/match_patterns/,/en/docs/extensions/mv3/match_patterns/,Match patterns,Understanding URL match patterns in Chrome extensions.,/docs/extensions/develop/concepts/match-patterns,
x,,https://developers.chrome.com/en/docs/extensions/mv3/messaging/,/en/docs/extensions/mv3/messaging/,Message passing,How to pass messages between extensions and content scripts.,/docs/extensions/develop/concepts/messaging,
x,,https://developers.chrome.com/en/docs/extensions/mv3/nativeMessaging/,/en/docs/extensions/mv3/nativeMessaging/,Native messaging,Exchange messages with native applications from your Chrome Extension.,/docs/extensions/develop/concepts/native-messaging,
x,,https://developers.chrome.com/en/docs/extensions/mv3/network-requests/,/en/docs/extensions/mv3/network-requests/,Cross-origin network requests,How to implement cross-origin network requests in your Chrome Extension.,/docs/extensions/develop/concepts/network-requets,
x,,https://developers.chrome.com/en/docs/extensions/mv3/options/,/en/docs/extensions/mv3/options/,Give users options,How to let users customize your extension.,/docs/extensions/develop/ui/options-page,
x,,https://developers.chrome.com/en/docs/extensions/mv3/override/,/en/docs/extensions/mv3/override/,Override Chrome pages,"How to override the Chrome bookmark manager, history, and new tab pages from your Chrome Extension.",/docs/extensions/develop/ui/override-chome-pages,
x,,https://developers.chrome.com/en/docs/extensions/mv3/permission_warnings/,/en/docs/extensions/mv3/permission_warnings/,Permission warning guidelines,How permission warnings work in Chrome extensions.,/docs/extensions/develop/concepts/permission-warnings/,
x,YES,https://developers.chrome.com/en/docs/extensions/mv3/promises/,/en/docs/extensions/mv3/promises/,Using promises,How to use promises in extension APIs,,
x,,https://developers.chrome.com/en/docs/extensions/mv3/richNotifications/,/en/docs/extensions/mv3/richNotifications/,Rich notifications API,How to show notifications to your Chrome Extension users.,/docs/extensions/how-to/ui/notifications,
x,,https://developers.chrome.com/en/docs/extensions/mv3/sandboxingEval/,/en/docs/extensions/mv3/sandboxingEval/,Use eval() in sandboxed iframes,How to use eval() in a Chrome Extension.,/docs/extensions/how-to/security/sandboxing-eval,
x,,https://developers.chrome.com/en/docs/extensions/mv3/screen_capture/,/en/docs/extensions/mv3/screen_capture/,Audio recording and screen capture,"How to record audio or video from a tab, window, or screen.",/docs/extensions/how-to/web-platform/screen-capture,
x,,https://developers.chrome.com/en/docs/extensions/mv3/security/,/en/docs/extensions/mv3/security/,Stay secure,How to keep your Chrome Extension secure.,/docs/extensions/develop/security-privacy/stay-secure,
x,,https://developers.chrome.com/en/docs/extensions/mv3/service_workers/,/en/docs/extensions/mv3/service_workers/,About extension service workers,Extension service workers are an extension's central event handler. That makes them different from web service workers.,/docs/extensions/develop/concepts/service-workers/,
x,,https://developers.chrome.com/en/docs/extensions/mv3/service_workers/basics/,/en/docs/extensions/mv3/service_workers/basics/,Extension service worker basics,Extension service workers are installed and updated differently from web service workers.,/docs/extensions/develop/concepts/service-workers/basics,
x,,https://developers.chrome.com/en/docs/extensions/mv3/service_workers/events/,/en/docs/extensions/mv3/service_workers/events/,Events in service workers,Extension service workers respond to both standard service worker events and many events in the extension APIs.,/docs/extensions/develop/concepts/service-workers/events,
x,,https://developers.chrome.com/en/docs/extensions/mv3/service_workers/service-worker-lifecycle/,/en/docs/extensions/mv3/service_workers/service-worker-lifecycle/,The extension service worker lifecycle,Extension service workers respond to both standard service worker events and events in extension namespaces. They are presented together because often one type follows another during an extension's use.,/docs/extensions/develop/concepts/service-workers/lifecycle,
x,,https://developers.chrome.com/en/docs/extensions/mv3/settings_override/,/en/docs/extensions/mv3/settings_override/,Overriding Chrome settings,How to override Chrome settings from a Chrome Extension.,/docs/extensions/reference/manifest/chrome-settings-override,
x,,https://developers.chrome.com/en/docs/extensions/mv3/shared_modules/,/en/docs/extensions/mv3/shared_modules/,Shared modules,How to share code between Chrome Extensions.,/docs/extensions/reference/manifest/shared-modules,
x,,https://developers.chrome.com/en/docs/extensions/mv3/storage-and-cookies/,/en/docs/extensions/mv3/storage-and-cookies/,Storage and cookies,Overview of how web storage APIs and cookies work in extensions.,/docs/extensions/develop/concepts/storage-and-cookies,
